_id,writer,option,grade,contents
658baec7fe9995b8b08013b2,jhee**,선택 옵션\n색상:블랙,평점 별 5점 중 5,재질이 부들부들하고 진짜 좋아요. 다른색으로도 두 구매할걸 그랬어요. 아쉽네요
658baec8fe9995b8b08013b3,love*******,선택 옵션\n색상:블랙,평점 별 5점 중 5,가방끈이 고정이 잘안되서 중간에 툭 떨어지는게 쫌 그렇지만 재질 디자인 너무 맘에들어요
658baec9fe9995b8b08013b4,jnsng,선택 옵션\n색상:블랙,평점 별 5점 중 5,그냥 보면 진짜 보테가인지 자라인지 모르겠네 ㅋㅋ 이쁘다
658baecafe9995b8b08013b5,oper*****,선택 옵션\n색상:바이올렛,평점 별 5점 중 5,촉감이 부드럽고 사이즈도 좋고 무엇보다 이쁘네요~\n실밥이 정돈 안 돼어서 좀 정리했어요^^
658baecbfe9995b8b08013b6,jonm****,선택 옵션\n색상:블랙,평점 별 5점 중 5,자라 카세트백 블랙 고급스럽고 너무 이뻐요 맘에 속들어요  감사합니다^^
658baeccfe9995b8b08013b7,yamp******,선택 옵션\n색상:그린(라임),평점 별 5점 중 5,자라 백이지만 보테가 베네타 스타일입니다. 넘 맘에 들어요 ~ \n\n잘 맬거 같아요 
658baecdfe9995b8b08013b8,여니S2,선택 옵션\n색상:블랙,평점 별 5점 중 5,"동생이랑 같이 주문해서 저는 라일락, 동생은 블랙으로 했어요ㅎㅎ 확실히 싼 만큼 그 가격하는 것 같아요ㅜ"
658baecefe9995b8b08013b9,ja88*********************,선택 옵션\n색상:블랙,평점 별 5점 중 5,가죽이 부드럽고 아담하니 좋아요~
658baecffe9995b8b08013ba,psir**,선택 옵션\n색상:바이올렛,평점 별 5점 중 5,컬러 화면이랑 같이 예쁘고 밝은 보라색으로 예쁘게 잘 매고 여행갔다 왔어요
658baed0fe9995b8b08013bb,damymam,선택 옵션\n색상:블랙,평점 별 5점 중 5,소가죽재질이라서 넘 괜찬아요.딸이 이쁘다며 가져가네요.
658baed1fe9995b8b08013bc,djdo*****,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,이뽀여\n가볍고\n편하게 들고 다니기 짱짱
658baed2fe9995b8b08013bd,48구경,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,쨍한 그린인줄알알았는데  그정도는 아니고 같이온블랙이 더 가죽이 좋아보이네요\n가볍고 간단한소지품만 넣을정도 여름백을찾았는데 딱좋았고 배송도꽤괜찮은 일주일정도?\n그린과 블랙했는데 블랙이 더예뻐 딸아이주었도니 아주 좋아합니다 영한느낌이있고 착용했을때 스타일도 영한느낌이쎄하게 듭니다 ㅎㅎ\n같이온 체인줄은 무거워서 아까워도  버림..
658baed3fe9995b8b08013be,48구경,색상 화면보다 밝아요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,블랙이 의외로 색이 너무예뻐서 그린이랑2개샀는데 화려한그린에 블랙이 지지않아요\n광택도좋고 가죽터치도 부드러워  잘산거같아요  다만 조금애매한게 줄인데 키크고 덩치큰사람들한테는조금짧은감이 있어요 \n가방크기는 손길이만큼 폰이들어가고 카드지갑들어감 여유가별로없어요 립정도..\n요새는 팩트도 크게.나와서..\n하지만.예쁨으로 모든걸이겨내내요 ㅎㅎㅎ\n같이보내준 체인은 그냥 없는걸로..\n무겁네요..\n더보기
658baed4fe9995b8b08013bf,돌체라떼ㅋ,색상 화면대로예요 마감 마감이 깔끔해요 재질 보통이에요,평점 별 5점 중 5,"오래기다렸는데ㅋㅋㅋ기대이상이예요최고예요 \n그린,화이트샀는데 ㅋㅋㅋ 너무마음에들어요ㅋㅋ\n엄마두맘에들어하셔서. 또구매할려구여~~"
658baed5fe9995b8b08013c0,rkfd***,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 5,생각했던 크기이고\n원래배송날짜보다 훨씬 빨리왔어요\n가죽도좋고 포장도좋아요
658baed7fe9995b8b08013c1,song****,색상 화면보다 밝아요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,사고싶었는데 마침 딱 핫딜이있길래\n언능샀어용\n맘에들어요 뿌듯뿌듯\n배송도빨랐어요 감사합니다\n사업번창하세요
658baed8fe9995b8b08013c2,미시건,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 4,가격대비 마음에 들어요 휴대폰에 립그로스 자동차키등 살짝 외출시 가지고다니기 좋을것같아요.
658baed9fe9995b8b08013c3,zooc**,색상 화면대로예요 마감 보통이에요 재질 재질이 고급스러워요,평점 별 5점 중 5,가방이 너무예뻐서 라임 색 구매후 바이올렛 추가 구입했어요
658baedafe9995b8b08013c4,libe*******,색상 화면대로예요 마감 보통이에요 재질 재질이 고급스러워요,평점 별 5점 중 5,이뻐요 길이가 짧아보였는데 딱이구요~~ 체인도 스트랩이랑 똑같이 넣어서 링에 걸면 저렇게 연결돼요~~  이쁘네요 색 고민해서 또 살게요^^
658baedbfe9995b8b08013c5,까꿍,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 4,생각보다 작긴하지만 .. 재질은  보통? 이쁘게 잘쓸게요
658baedcfe9995b8b08013c6,플렌리,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,귀엽고 이쁩니다 추천합니다  빠른배송감사해요빠른배송감사해요
658baeddfe9995b8b08013c7,bion****,색상 화면대로예요 마감 마감이 깔끔해요 재질 보통이에요,평점 별 5점 중 5,예상보다 원단이 보들합니다.\n체인 무겁지만 들만하고 전체적인 만듦새가 참 좋네요.\n다른 색상도 구매 해야겠어요.
658baedefe9995b8b08013c8,inok*****,색상 화면대로예요 마감 보통이에요 재질 재질이 고급스러워요,평점 별 5점 중 5,잘받았습니다  상품평이 나쁘지 않아서 구매했는데 \n딱 사진 그대로 좋네요\n화이트 샀는데  좋아요 다른색도 구매하고싶네요
658baedffe9995b8b08013c9,pak6*************,색상 화면보다 밝아요 마감 보통이에요 재질 재질이 고급스러워요,평점 별 5점 중 5,"어깨끈의 실 마감이 풀려있어서 정리했어요, 그래도 가죽이 너무 부드럽고 색상이 어둡지 않고 예뻐요. 가격도 착해서 부담없이 들고 다닐수 있어서 좋아요."
658baee0fe9995b8b08013ca,kwon****,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,평이 좋고 저렴해서 구매했는데 너무 귀엽구요 재질이 진ㅉㅏ좋아요 잘매고 다닐거같아요 
658baee1fe9995b8b08013cb,kh_0***,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 4,체인이 넘 무거워요 그래도 가방은 귀여워요
658baee2fe9995b8b08013cc,kh_0***,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 4,체인무게가 엄정 무겁네요  가방은 귀여워요
658baee3fe9995b8b08013cd,choh******,색상 화면대로예요 마감 마감이 깔끔해요 재질 보통이에요,평점 별 5점 중 4,가격  저렴하고  디자인  예쁘고  다  좋은데  체인을  달수있는  고리가   없어서  좀  아쉽네요  
658baee4fe9995b8b08013ce,qkek****,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 5,잘쓰고있어요 재질은부드럽고좋네요
658baee5fe9995b8b08013cf,heya****,색상 화면보다 밝아요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,화면 그대로 이쁩니다\n하나 더 살까봐요
658baee6fe9995b8b08013d0,cmk1***,색상 화면보다 밝아요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 4,", 배송도 정말 빠르게 도착했구요 \n만족합니다.  재구매할게요 "
658baee7fe9995b8b08013d1,cmk1***,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,배송은 좀 느리지만 가방은 너무너무 이뻐요
658baee8fe9995b8b08013d2,ggoo****,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,
658baeeafe9995b8b08013d3,하루이틀333,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 3,그냥그래요ㅡ여유분줄끼우는부분이 금방색변하네오
658baeebfe9995b8b08013d4,미시건,색상 화면대로예요 마감 마감이 깔끔해요 재질 보통이에요,평점 별 5점 중 4,이 가격이 이정도면 너무 만족해요. 똑딱이 같은건없고 자석버튼이로 닫이고 어디 매치하기 좋아요. 수납도 제법잘되요
658baeecfe9995b8b08013d5,여니S2,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 4,"동생이랑 같이 주문해서 저는 라일락, 동생은 블랙으로 했어요ㅎㅎ 확실히 싼 만큼 그 가격하는 것 같아요ㅜ"
658baeedfe9995b8b08013d6,dong****,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 4,맘에들어요 좋습니다
658baeeefe9995b8b08013d7,dong****,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 5,잘받았습니다 잘 쓰도록할게요
658baeeffe9995b8b08013d8,skys******,색상 화면보다 밝아요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,굿입니다요 굿입니다요 
658baef0fe9995b8b08013d9,pek8***,,평점 별 5점 중 5,
658baef1fe9995b8b08013da,cha4***,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 5,배송너무느려요 조아여 만족스러워요 만족스러워요 만족스러워요 만족스러워요 만족스러워요 만족스러워요 만족스러워요 만족스러워요 
658baef2fe9995b8b08013db,atti****,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,
658baef3fe9995b8b08013dc,ssuk*****,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,
658baef4fe9995b8b08013dd,ssuk*****,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,추가 구입 3개째\n조카들에게 선물로 돌렸어요
658baef5fe9995b8b08013de,atti****,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,
658baef6fe9995b8b08013df,bion****,,평점 별 5점 중 5,
658baef7fe9995b8b08013e0,솜빈,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 3,
658baef8fe9995b8b08013e1,noeu*****,,평점 별 5점 중 5,
658baef9fe9995b8b08013e2,apff*******,색상 화면대로예요 마감 마감이 별로예요 재질 보통이에요,평점 별 5점 중 4,
658baefafe9995b8b08013e3,apff*******,색상 화면대로예요 마감 마감이 별로예요 재질 보통이에요,평점 별 5점 중 4,
658baefbfe9995b8b08013e4,osyj**,색상 화면보다 밝아요 마감 마감이 깔끔해요 재질 보통이에요,평점 별 5점 중 4,
658baefdfe9995b8b08013e5,limt****,색상 화면보다 밝아요 마감 마감이 깔끔해요 재질 보통이에요,평점 별 5점 중 5,
658baefefe9995b8b08013e6,rnjs****,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 5,
658baefffe9995b8b08013e7,love***,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,
658baf00fe9995b8b08013e8,comp*****,색상 화면대로예요 마감 마감이 깔끔해요 재질 보통이에요,평점 별 5점 중 3,
658baf01fe9995b8b08013e9,ggoo****,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,
658baf02fe9995b8b08013ea,cdhf**,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 4,
658baf03fe9995b8b08013eb,syoo*****,색상 화면대로예요 마감 보통이에요 재질 보통이에요,평점 별 5점 중 4,
658baf04fe9995b8b08013ec,song******,,평점 별 5점 중 5,
658baf05fe9995b8b08013ed,blue********,색상 화면대로예요 마감 마감이 깔끔해요 재질 보통이에요,평점 별 5점 중 5,
658baf06fe9995b8b08013ee,pmj0***,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,색깔과 재질 디자인 마음에 듭니다
658baf07fe9995b8b08013ef,pmj0***,색상 화면대로예요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,색깔과 재질 디자인 마음에 듭니다
658baf08fe9995b8b08013f0,cyh0***,색상 화면대로예요 마감 보통이에요 재질 재질이 고급스러워요,평점 별 5점 중 5,
658baf09fe9995b8b08013f1,카스란,색상 화면보다 밝아요 마감 마감이 깔끔해요 재질 재질이 고급스러워요,평점 별 5점 중 5,
658baf0afe9995b8b08013f2,uiji***,,평점 별 5점 중 5,
658baf0bfe9995b8b08013f3,uiji***,,평점 별 5점 중 5,
658baf0cfe9995b8b08013f4,uiji***,,평점 별 5점 중 5,
