_id,writer,option,grade,contents
658cd512443b9d879d0c81dd,핫초코라떼,피부 정보\n비공개,평점 별 5점 중 5,"[촉촉하고 풍부한 보습크림, 넉넉한 용량]\n합리적인 가격에 촉촉하고 풍부한 피부를 만들 수 있습니다. 샤워 후 스킨, 로션만으로는 피부땅김문제가 있지만 피지오겔 크림을 발랐을 때 촉촉감과 보습량으로 피부건조함 없이, 촉촉함을 장시간 유지할 수 있습니다. 더불어 기름기도 많지 않아서 부담스럽지 않으며, 제가  예민한 여드름성 피부임에도 피부에 문제 없이 사용할 수 있는게 큰 장점이라 생각이드네요. 사용기한 역시 넉넉하고, 세일할 때 저렴하게 구매해서 만족스럽습니다. 큰대용량으로 한번 구매하면 오래사용할 수 있다는 것 역시 장점이며, 향도 딱히 없기에 호불호 없이 사용할 수 있는 좋은 크림이라 생각듭니다. 이번 겨울에도 잘사용하겠습니다 ~!! "
658cd515443b9d879d0c81de,hola**,선택 옵션\n피지오겔세트,평점 별 5점 중 4,배송은 빨리 왔구요.\n날씨 추워지면서 피부도 건조해지고 예민해져서 로션하고 크림 좀 바꿔보려고 주문했어요.\n특별한 기능은 없지만 중건성 피부와 예민한 피부에 괜찮다 그래서 몇번 써봤는데 아직까진 피부에 올라오는 것도 없고 건조한 느낌도 없어요. 괜찮아요.\n계속 써보고 좋으면 또 구매할께요.\n그런데 첫 오픈할때 화장품은 공기유입도 막고 새거라는 표시로 비닐씰로 입구 딱 막아놓던데 이건 없었어요.\n좀 찜찜한 기분이 들었습니다.\n더보기
658cd518443b9d879d0c81df,쇼핑조아유,피부 정보\n비공개,평점 별 5점 중 5,"피지오겔  순하고 좋다고해서 사봤습니다. 양도 많고 촉촉하고 좋은 제품이라고 생각합니다. 모든 피부에도 사용이 가능하고, 특히 춥고 건조한 지금날씨에서는 피지오겔 크림을 바르니까 촉촉함이 오래가서 좋습니다. 괜히 유명한게 아니라는 생각이드네요.150ml 라는 용량과 함께 주신 폼클렌징까지 한동안은 크림걱정없이 오래사용할 수 있어서 좋네요. 특가에 장바구니 쿠폰까지 함께 사용해서 lg생활건강 국내정품을 저렴하게 사서 만족합니다."
658cd51b443b9d879d0c81e0,연쇄소비범,피부 정보\n비공개,평점 별 5점 중 5,첫째 둘째 모두 신생아때부터 사용중이에요. 비싸긴 해도 이만한게 없어요. 일리윤이랑 번갈아가면서 쓰는데 피지오겔이 좋네요. 이번에 딜할때 저렴하게 구매했는데 중간에 택배분실되서 슈팅배송인데도 늦게 받았어요. 그래도 확인하고 바로 발송해주셔서 금방 받았네요. 감사합니다. 추천합니다.
658cd51e443b9d879d0c81e1,rabb*****,피부 정보\n비공개,평점 별 5점 중 5,피부가 예민해서 순한것만 바르는데....\n막 편하게 쓰기에 넘  좋아요~~~\n피부질환일을때 다름거 몬바르고 요것만 발랐네요~~\n보습력도 좋고 향도 강하지 않고 좋아요~\n유통기한도 길어서 편하게 사용할듯요\n망설일 이유가 없는 피지오겔~~~~
658cd521443b9d879d0c81e2,1336***************,피부 정보\n비공개,평점 별 5점 중 5,남편 입 주변이 까칠해서 사줬어요\n향도 거의 없어서 거부감 없이 \n잘 바를 것 같아요\n흡수력도 좋으네요\n저도 있는 크림 바르면 같이 바르려구요
658cd524443b9d879d0c81e3,MIMIONETOP,피부 정보\n비공개,평점 별 5점 중 5,원래쓰던제품 다써가서 주문했어요 슈팅배송 진짜 빠르고 좋아요. 지방에 살아서 쿠팡로켓배송 의미없다생각했는데 11번가 슈팅배송이 더 빠르고 좋습니다
658cd527443b9d879d0c81e4,skyt****,피부 정보\n비공개,평점 별 5점 중 5,아이 아가때부터 써오는 크림이에요. 여름엔 로션바르고 겨울엔 크림으로... 보습 잘됩니다. 필요할땐 저도 바르네요.
658cd52a443b9d879d0c81e5,냠냠이아빠,피부 정보\n비공개,평점 별 5점 중 5,피부가 안좋아서 피부과 가니 피지오겔 사용해라고 하시네요 보습하나만큼은 이만한게 없네요
658cd52d443b9d879d0c81e6,nell****,피부 정보\n비공개,평점 별 5점 중 5,이미 다 써가는데 후기가 늦었어요\n순하고 괜찮아요\n저는 건조해서 스킨과 다른 앰플이나 크림을 더 발라요
658cd530443b9d879d0c81e7,후진목마,피부 정보\n비공개,평점 별 5점 중 5,dmt 로션보다는 유분이 많고 그렇지만 끈적이거나 무겁지 않아요.
658cd533443b9d879d0c81e8,okhy****,피부 정보\n비공개,평점 별 5점 중 5,또 구매함. 타 샵 보다 가격이 월등히 좋아서 미리 쟁여 놨어요. 겨울이라 듬뿍듬뿍 발라서요. 보습력 최고에 트러블 없어서 대학병원 피부과 교수님도 이거 쓰라 그러더라구요 ㅎㅎ
658cd536443b9d879d0c81e9,msso****,선택 옵션\nDMT 크림 150ml 1개+AC 폼클렌저 20ml 1개,평점 별 5점 중 4,1년 내내 이것만 발라요 보습도 좋고 트러블도 안생기고 좋아요
658cd53a443b9d879d0c81ea,ji72**,피부 정보\n비공개,평점 별 5점 중 5,온가족이 다 사용하고 있어요~~\n순하고 향도 별로 안나서 좋어요~~
658cd53d443b9d879d0c81eb,gwar*****,피부 정보\n비공개,평점 별 5점 중 4,22년 12월23일 제품이 왔네요 6개월 넘은 제품이라 별하나 뺐네요 품질은 다 좋은거 아시니 가격은 그럭저럭이네요 필요해서 구매했어요 
658cd540443b9d879d0c81ec,zero*****,피부 정보\n비공개,평점 별 5점 중 5,기한이 25년까지이고 겨울에 바르기 좋은 크림입니다
658cd543443b9d879d0c81ed,thde*****,피부 정보\n비공개,평점 별 5점 중 5,겨울에 듬뿍 올리고 자기 좋을 것 같아 구매했는데 자꾸 눈이 시리네요ㅜ 눈 주위는 잘 안바르는데도 같은 증상이라 볼과 목 부위만 발라줍니다.. 겨울에 사용하기엔 괜찮아요..
658cd546443b9d879d0c81ee,okhy****,피부 정보\n비공개,평점 별 5점 중 5,보습력 좋아서 늘 쓰는 건데 여기 가격이 제일 좋아서 주문했어요
658cd549443b9d879d0c81ef,wjsw****,피부 정보\n비공개,평점 별 5점 중 5,건조할땐피지오겔찾게되더라구요.\n여름이라 잠시안？다가 가볍게바를땐로션\n화장할때나 자기전크림 바르면좋아요
658cd54c443b9d879d0c81f0,찐후기 써줍니다,피부 정보\n비공개,평점 별 5점 중 5,말로만 들었는데 lg우승덕분에 입문한 첨 피지오겔  건성아즈메입니다\n이것저것 발라도 돌아서면 얼굴 땅기는 중년에 민강성이라 다 알만한 브랜드 독하고 비싼한방이나 외국명품브랜드도 써봐도 정착한 화장품없는데 요건 맘에 드네요 입소문 날만한듯\n문제는 하도 까칠한 남편얼굴에 치덕치덕 발라주니 기름져서 싫다하더니 하루종일 촉촉한지 이젠 아침저녁으로 짜서 바르네요.금방 없어질듯  에센스 크림 찐득하다고 스킨하나로 50년 버텼는데 남편이 더 좋아해요. 
658cd553443b9d879d0c81f2,clouDyyy,선택 옵션\n대형 50매 2개+증정,평점 별 5점 중 5,슈팅배송이라 정말정말 빠르게 받았습니다\n밤에시켰는데..다음날 바로왔어요~!\n코시국에 써보고 편안하게 잘 맞았던 제품으로 재구매 했습니다:)\n사이즈도 넉넉하고 마스크 닿는 면도 뻣뻣하디않고 귀에 닿는 마스크 끈도 아프지않아서 좋아요\n같이보내주신 증정용 비말마스크도 고맙습니다~
658cd556443b9d879d0c81f3,캔디동동,선택 옵션\n대형 50매 2개+증정,평점 별 5점 중 5,"코로나 이후 kf94만 쭉 쓰다가 학생인 아들은 계속 쓰고다녀 클린케어 덴탈형 kf94만 쓰고 있어요. 집에 잔뜩 있는 새부리형은 이제 답답해서 안쓸려고하네요. ㅜㅜ 밤늦게까지 쓰고있어도 입에 달라붙지도않고, 피지도않아서 넘 편하다고 합니다. 얼큰 성인도 무리없이  사이즈 잘 맞아 늘 고민없이 구매합니다."
658cd559443b9d879d0c81f4,같이소비,선택 옵션\n대형 50매 2개,평점 별 5점 중 4,"마스크 적당히 도톰하고 닿는 부분도 좋은데 포장 배송이 완전 아니네요~ 아무리 슈팅배송이라지만 겉 박스, 마스크 박스까지 구겨지고 찢어져 코와 입에 닿는 거라 좀 찜찜하네요, 2박스 중 하나는 괜찮아서 다행인데요, 마스크 감싼 비닐도 흩어져 꺼내본 몇 개 마스크 중에 끈이 한쪽 없는 게 나왔는데 전체에 몇 개나 될른지 모르겠네요ㅠ 검수, 포장 좀 잘 해서 보내주세요~ 교환반품 서로 번거롭지 않게요~"
658cd55c443b9d879d0c81f5,ylsw**,선택 옵션\n소형 50매 2개,평점 별 5점 중 5,아이가 이마스크가 편하니 오리지널KF94를 안쓰려해서 재구매했어요.아무래도 숨쉬는\n게 편한겠죠. 저번에 구입했을때 보다 저렴 하게 구입해서 좋아요.
658cd55f443b9d879d0c81f6,kigi**,선택 옵션\n소형 50매 2개,평점 별 5점 중 5,편하게 쓸 일회용 마스크로 구매했어요. 이런 마스크 스타일은 브랜드나 제조사별로 특별히 큰 차이가 있는 거 같지는 않아요. 잘 씌울게요~
658cd562443b9d879d0c81f7,ppos***,선택 옵션\n대형 50매 2개,평점 별 5점 중 5,아이들이  숨쉬기편하다고 이것만찾네요\n독감 폐렴이 유행이라 스스로가 잘쓰고 다녀요. kf94라 일반마스크보다 가격은 좀있지만\n매번구매하고있어요
658cd565443b9d879d0c81f8,룰루랄라진지,선택 옵션\n소형 50매 2개,평점 별 5점 중 5,마른 초6 아이가 이것만 써요. 얼굴이 작아 딱이네요. 덴탈형 이지만 k94라 만족합니다~
658cd568443b9d879d0c81f9,ppos***,선택 옵션\n대형 50매 2개,평점 별 5점 중 5,숨쉬기편해서 이마스크 써요\n아이들도 같이쓰는데\n확실히 편해요\n감기가 너무 유행중이라 요즘 다시 쓰고있어요
658cd56b443b9d879d0c81fa,뿡뿡,선택 옵션\n대형 50매 2개,평점 별 5점 중 4,100개 다 쓰고 또 구입했어요 비염에 감기가 잘 걸려서 마스크를 사랑하는 사람으로써 이건 숨쉬기도 편하고 귀도 하나도 안아파요 가격이 저렴하게 나와서 언능 구입했어요
658cd56e443b9d879d0c81fb,ok12***,선택 옵션\n대형 50매 2개,평점 별 5점 중 5,늘 구매하는 제품이라 재구입합니다\n얇아서 사용하기 좋아요~  ^^
658cd571443b9d879d0c81fc,윤스맘,선택 옵션\n대형 50매 2개,평점 별 5점 중 5,항상 쓰던거라서요 \n이게 제일 편하다는 가족2호가 있어서 정기적으로 구매합니다\n덴탈인데 ㅇkf94라서  안심이 되고 하네요
658cd574443b9d879d0c81fd,파~뤼,선택 옵션\n대형 50매 2개,평점 별 5점 중 5,F94 덴탈형으로 이제품만 쓰고있어요.\n직업상 꼭 필요하고 부리형보다 덜답답해서 좋아요.\n촉감부드럽고 착용감 좋아요.
658cd577443b9d879d0c81fe,귀욤엘리,선택 옵션\n대형 50매 2개,평점 별 5점 중 5,독감이 돌기도하고 아이가 요상품만 써서 딜뜬거보고 2세트 주문 했어요
658cd57a443b9d879d0c81ff,anat*******,선택 옵션\n대형 50매 2개+증정,평점 별 5점 중 5,저렴할때 꼭 사야죠.편하고좋아요
658cd57d443b9d879d0c8200,dbwl*****,선택 옵션\n대형 50매 2개,평점 별 5점 중 5,요즘 날씨도 추워져서 마스크를 착용하는 날이 늘어나네요 쓰던 마스크가 잘 안나와 이 제품으로 구매해봤는데 좋아요 하루종일 끼고 있어도 귀도 아프지 않고 단지 가격이 저렴하진 않은거 같아요  빼곤 좋아요 보플도 생기지 않고
658cd580443b9d879d0c8201,푸르미맹맹이,선택 옵션\n대형 50매 2개+증정,평점 별 5점 중 5,요거 첫구매 후 계속 중딩아들은 요것만 쓰네요..\n떨어지기 전에 늘 구비해노코 써요~\n요게 마니 크지도 않고 숨 쉬기도 편하구\n하루 하나씩 쓰기 부담없고 좋다네요~^^
658cd583443b9d879d0c8202,수아7,선택 옵션\n대형 50매 2개+증정,평점 별 5점 중 5,저렴한 가격에 국내재료만 사용해서 만들었다고해서 구매했습니다.\n성인 남성이 사용하기에도 적당한 사이즈예요.\n너무 저렴하게 구입해서 미안할 정도예요.
658cd587443b9d879d0c8203,누룽지라떼,선택 옵션\n대형 50매+소형 50매,평점 별 5점 중 4,자주 사용합니다 편하고 좋아요 너무 좋아요 ？？  ？？ ？？ ？？ ？？ ？？ ♥？ ？？ ？？ 
658cd58a443b9d879d0c8204,필요해용,선택 옵션\n대형 50매 2개,평점 별 5점 중 5,딸아이가 항상 쓰고 다니는 마스크\n코로나때부터 꾸준히 지금까지 마스크를 착용하고 다닙니다\n요즘은 독감이 유행이라서 시험기간에 아프지않으려고 \n마스크를 꼭 착용하고 다녀요 다른 제품도 써봤지만 이것만 고집하네요 그럴만한 좋은점이 있는것 같아요 아주 저렴이는 아니지만 딸아이가 만족해 잘 쓰고 있습니다
658cd58d443b9d879d0c8205,djfl****,선택 옵션\n대형 50매 2개+증정,평점 별 5점 중 5,너무 저렴한거 구입했다가 별로여서  다른제품 ？다가 적당한가격에 국산이라서 구입했는데 착용감도 재질도 마음에듭니다
658cd593443b9d879d0c8207,tyor****,선택 옵션\n500ml,평점 별 5점 중 5,"집에서 먹는 물만큼은 깨끗하고 좋은 물을 먹고 싶어 삼다수를 마시고 있습니다. 수질 점검을 거친 암반수라 믿을 수 있고, 미네랄과 무기질 등의 영양분을 얻을 수 있어 좋아요. 목넘김도 부드러워 부담없이 마시기 좋습니다."
